cell_y_index,cell_x_index,point_names
77,76,5_6_19_92835
57,70,5_6_29_65496
79,78,5_6_39_91052
80,73,5_6_43_54585
82,74,5_6_43_78845
95,74,5_6_5_78549
93,75,"5_6_9_67709, 5_6_9_83898"
130,76,"2_6_105_76437, 2_6_105_84136"
134,80,2_6_105_94754
131,76,2_6_105_96639
115,85,"2_6_35_63948, 2_6_35_59624"
117,85,2_6_35_73299
123,88,2_6_35_96414
129,89,2_6_49_53662
127,100,2_6_49_65134
124,97,2_6_49_77038
125,91,"2_6_49_97560, 2_6_49_60210"
127,80,2_6_89_52614
127,84,"2_6_89_58146, 2_6_89_55387, 2_6_89_78722, 2_6_89_94277"
127,79,2_6_89_68386
121,82,2_6_89_68434
126,82,"2_6_89_91300, 2_6_89_66502"
122,84,2_6_89_93267
122,81,"2_6_89_97816, 2_6_89_78171"
98,78,3_6_17_95791
101,75,"3_6_17_98576, 3_6_17_73495"
105,79,3_6_57_87496
101,78,"3_6_61_66914, 3_6_61_93000"
115,78,"3_6_63_50463, 3_6_7_58490"
111,81,3_6_63_52679
114,81,"3_6_63_53093, 3_6_63_77292"
108,86,3_6_63_67826
111,84,"3_6_63_70055, 3_6_63_81739"
116,81,3_6_63_71881
117,82,3_6_63_99218
111,77,"3_6_7_77257, 3_6_7_78236"
104,85,3_6_91_57875
108,79,"3_6_91_69982, 3_6_91_99653"
106,81,3_6_91_78931
105,82,3_6_91_90805
61,77,5_6_107_62226
61,72,"5_6_107_75966, 5_6_107_62252"
60,73,"5_6_107_84972, 5_6_107_54465"
67,74,5_6_107_96742
64,76,5_6_107_99288
88,76,"5_6_109_59609, 5_6_109_77218"
85,77,"5_6_109_61342, 5_6_109_87610"
74,75,"5_6_19_63135, 5_6_19_69038"
76,78,"5_6_19_89633, 5_6_19_60572"
75,74,5_6_19_93206
77,77,"5_6_19_93554, 5_6_19_64321"
58,70,"5_6_29_85109, 5_6_107_56883"
90,80,5_6_3_76892
79,80,5_6_51_90179
92,74,5_6_9_64046
94,75,"5_6_9_64364, 5_6_9_55452"
132,74,"2_6_105_51218, 2_6_105_75624"
133,75,"2_6_105_63314, 2_6_105_73028, 2_6_105_91548"
132,79,"2_6_105_67471, 2_6_105_62696, 2_6_93_92550"
133,77,2_6_105_93031
111,86,2_6_35_64772
126,99,2_6_49_55447
130,78,"2_6_89_63272, 2_6_89_89779, 2_6_89_61825"
124,83,2_6_89_74652
122,80,"2_6_89_80913, 2_6_89_88898"
130,79,"2_6_89_84177, 2_6_89_69793"
129,82,2_6_89_94753
108,76,3_6_115_98323
104,79,3_6_57_57153
105,78,"3_6_57_59992, 3_6_57_87962"
103,80,3_6_61_52287
102,74,3_6_61_87710
101,77,"3_6_61_92676, 3_6_61_92313"
109,78,"3_6_63_67253, 3_6_115_54964"
112,80,3_6_63_76784
116,83,3_6_63_79837
111,80,"3_6_63_83149, 3_6_63_84403, 3_6_63_88319"
111,78,3_6_63_84270
107,82,3_6_91_66378
103,83,3_6_91_99550
69,74,"5_6_107_97549, 5_6_19_50529"
88,74,5_6_109_64293
75,78,5_6_19_63979
72,74,5_6_19_68056
71,77,5_6_19_90478
78,75,"5_6_39_51106, 5_6_39_63788"
80,74,"5_6_39_79129, 5_6_39_66134"
92,80,5_6_3_75212
82,77,5_6_43_53915
83,74,5_6_43_56491
83,76,5_6_43_58153
82,76,5_6_43_74275
82,75,5_6_43_94933
130,75,"2_6_105_76091, 2_6_105_95584, 2_6_105_91348"
131,74,"2_6_105_91958, 2_6_105_53434, 2_6_105_96468"
